Sentiment,Score,Month
Pro-Ukrainian,10.217881202697754,February
Pro-Ukrainian,9.591668844223022,February
Pro-Ukrainian,6.933202147483826,February
Pro-Ukrainian,9.95794951915741,February
Pro-Ukrainian,9.61666226387024,February
Pro-Ukrainian,9.949995279312134,February
Pro-Ukrainian,5.18474817276001,February
Pro-Ukrainian,10.271168947219849,February
Pro-Ukrainian,9.606291055679321,February
Pro-Ukrainian,9.841032028198242,February
Pro-Ukrainian,9.654648303985596,February
Pro-Russian,4.140261113643646,February
Pro-Ukrainian,10.073182582855225,February
Pro-Ukrainian,8.660898208618164,February
Pro-Ukrainian,9.62615191936493,February
Pro-Ukrainian,9.444984197616577,February
Pro-Ukrainian,9.350883960723877,February
Pro-Ukrainian,10.006089210510254,February
Pro-Ukrainian,9.726042747497559,February
Pro-Ukrainian,9.148443341255188,February
Pro-Ukrainian,9.564360976219177,February
Pro-Ukrainian,10.646016597747803,February
Pro-Ukrainian,10.172077417373657,February
Pro-Russian,4.975341558456421,February
Pro-Ukrainian,9.811440110206604,February
Pro-Ukrainian,10.15876054763794,February
Pro-Ukrainian,8.651025891304016,February
Pro-Ukrainian,10.511049032211304,February
Pro-Ukrainian,10.228604078292847,February
Pro-Ukrainian,10.251891613006592,February
Pro-Ukrainian,10.01374363899231,February
Pro-Russian,4.303952157497406,February
Pro-Ukrainian,9.54970121383667,February
Pro-Ukrainian,9.680833220481873,February
Pro-Ukrainian,10.908671617507935,February
Pro-Ukrainian,10.445394515991211,February
Pro-Ukrainian,10.486255884170532,February
Pro-Ukrainian,9.356162548065186,February
Pro-Ukrainian,6.781302094459534,February
Pro-Ukrainian,10.065653324127197,February
Pro-Russian,3.2305213809013367,February
Pro-Ukrainian,10.984987020492554,February
Pro-Ukrainian,9.874088168144226,February
Pro-Ukrainian,9.540623426437378,February
Pro-Ukrainian,9.863515496253967,February
Pro-Ukrainian,8.910878300666809,February
Pro-Ukrainian,10.068689584732056,February
Pro-Ukrainian,10.042716264724731,February
Pro-Ukrainian,10.254656076431274,February
Pro-Russian,3.3630239963531494,February
Pro-Russian,3.2305213809013367,February
Pro-Ukrainian,10.15089750289917,February
Pro-Ukrainian,9.427214860916138,February
Pro-Ukrainian,7.493407726287842,February
Pro-Ukrainian,10.06726861000061,February
Pro-Ukrainian,9.938440322875977,February
Pro-Ukrainian,8.723003268241882,February
Pro-Ukrainian,6.652827262878418,February
Pro-Ukrainian,10.979994535446167,February
Pro-Ukrainian,10.65278172492981,February
Pro-Ukrainian,10.372744798660278,February
Pro-Ukrainian,5.686562657356262,February
Pro-Ukrainian,9.724820256233215,February
Pro-Ukrainian,9.620681405067444,February
Pro-Russian,2.34489768743515,February
Pro-Ukrainian,9.729088544845581,February
